Date,Input_01,Input_02,Input_03,Input_04,Output
5/01/2001,18.8836,1.997,1.8304,10.5192,71.0423
6/01/2001,19.1467,2.6051,1.7982,10.0649,70.7389
7/01/2001,19.4157,2.1504,1.7969,10.464,73.137
8/01/2001,18.1172,2.2434,1.8027,10.7203,78.3801
9/01/2001,19.1363,4.2637,1.817,9.7919,65.3777
10/01/2001,18.6229,2.9417,1.8415,10.2492,59.8002
11/01/2001,19.3373,2.3455,1.9085,10.3561,67.6464
12/01/2001,19.3498,2.3816,1.8282,10.7467,74.8564
13/01/2001,15.7013,2.6385,1.9694,10.3719,75.1946
14/01/2001,15.1142,10.6519,2.775,10.1266,69.9586
15/01/2001,16.3554,2.8606,1.8469,10.5744,69.4572
16/01/2001,18.1983,3.2523,1.8377,9.8395,63.9952
17/01/2001,19.1557,3.8213,1.8357,9.8915,56.5439
18/01/2001,18.9961,2.9538,1.831,10.2242,62.6437
19/01/2001,18.5763,3.1862,1.8309,10.0666,68.3809
20/01/2001,16.0014,2.4626,2.0338,10.0904,73.4094
21/01/2001,16.0495,2.7588,1.8921,10.3325,69.1036
22/01/2001,19.5641,2.1565,1.8317,10.2485,70.1822
23/01/2001,17.7898,2.6467,1.8319,10.4461,67.6408
24/01/2001,18.7605,2.535,1.8295,10.2289,62.7185
25/01/2001,18.8077,2.2923,1.8314,10.1526,64.59
26/01/2001,18.9751,2.1072,1.8291,10.109,69.6338
27/01/2001,19.1223,2.1127,1.8307,10.2882,72.4387
28/01/2001,18.7548,2.3492,1.8278,10.1384,76.2461
29/01/2001,18.6434,2.6104,1.8306,10.5019,74.0481
30/01/2001,18.5965,3.5685,1.8304,9.9669,66.0191
31/01/2001,18.4154,2.739,1.8294,10.3904,59.8916
1/02/2001,20.0531,1.9921,1.8296,10.4553,66.513
2/02/2001,17.0879,2.2461,2.0163,10.5195,73.3616
3/02/2001,15.6069,2.1816,2.1227,10.8756,74.3026
4/02/2001,19.3637,2.3842,1.8219,10.4855,74.1922
5/02/2001,19.5186,2.3524,1.8312,10.2562,74.793
6/02/2001,18.609,2.1071,1.8289,10.7966,69.0264
7/02/2001,18.8034,1.8787,1.8312,10.619,68.1232
8/02/2001,19.4417,1.6273,1.8279,10.6331,72.6925
9/02/2001,19.8851,1.9814,1.8312,11.2256,79.7565
10/02/2001,19.2033,1.7502,1.8293,10.6869,78.5354
11/02/2001,18.7045,1.7056,1.8257,10.9667,77.9519
12/02/2001,18.9407,2.0849,1.7962,11.2275,80.3149
13/02/2001,18.3478,2.065,1.7954,9.9403,68.7612
14/02/2001,18.4699,1.9642,1.7984,10.4092,63.267
15/02/2001,18.9888,2.0465,1.7957,10.7738,71.9507
16/02/2001,19.0576,1.7969,1.7982,10.4824,75.7026
17/02/2001,19.1962,1.8812,1.7966,10.2579,73.5285
18/02/2001,19.1693,1.9657,1.7985,10.6972,77.1183
